#Name;Name mit Ort;Nummer;Globale ID;GKZ;Gemeinde;Teilort;Landkreis;Tarifzonen;Verkehrsmittel;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate
Göppingen;Göppingen;10154;de:08117:154;08117026;Göppingen;Göppingen;GP;5,6;"Bus;Nachtbus;R-Bahn";RE5,MEX16,901,901A,902,903,904,905,906,911,911A,912,912A,913,914,914A,915,916A,920,920A,921,921A,931,931A,932,932A,933,933A,934,934A,935,940,941,941A,942,972,980,980A,981,981A,983,983A,984,984A,997,X93,N90,N93,N94,N97,N98;11005_,11016_,31901_,31901a,31902_,31903_,31904_,31905_,31906_,31911_,31911a,31912_,31912a,31913_,31914_,31914a,31915_,31916a,31920_,31920a,31921_,31921a,31931_,31931a,31932_,31932a,31933_,31933a,31934_,31934a,31935_,31940_,31941_,31941a,31942_,31972_,31980_,31980a,31981_,31981a,31983_,31983a,31984_,31984a,31997_,31X93_,34090_,34093_,34094_,34097_,34098_;51;11,31,34;9,652026808;48,70002875
Eislingen (F);Eislingen (F);10155;de:08117:155;08117019;Eislingen/Fils;Eislingen (F);GP;6;R-Bahn;RE5,MEX16;11005_,11016_;2;11;9,704703654;48,69664285
Salach;Salach;10156;de:08117:156;08117042;Salach;Salach;GP;6;R-Bahn;RE5,MEX16;11005_,11016_;2;11;9,737064301;48,68939899
Süßen;Süßen;10157;de:08117:157;08117049;Süßen;Süßen;GP;6,7;"Bus;R-Bahn";RE5,MEX16,951,951A,970,971,972,972A,984,N97;11005_,11016_,31951_,31951a,31970_,31971_,31972_,31972a,31984_,34097_;10;11,31,34;9,759730089;48,68377512
Gingen (F);Gingen (F);10158;de:08117:158;08117025;Gingen an der Fils;Gingen (F);GP;7;R-Bahn;RE5,MEX16;11005_,11016_;2;11;9,78804044;48,66078845
Kuchen;Kuchen;10159;de:08117:159;08117033;Kuchen;Kuchen (F);GP;7;R-Bahn;RE5,MEX16;11005_,11016_;2;11;9,803638691;48,64036613
Geislingen West;Geislingen West;10160;de:08117:160;08117024;Geislingen an der Steige;Geislingen (Steige);GP;7;R-Bahn;RE5,MEX16;11005_,11016_;2;11;9,821963896;48,6307674
Geislingen (Steige);Geislingen (Steige);10161;de:08117:161;08117024;Geislingen an der Steige;Geislingen (Steige);GP;7;"Bus;Nachtbus;R-Bahn;Ruftaxi";RE5,MEX16,950,950A,951,951A,957,958,958A,959,962,963,964,965,965A,966,966A,N96,RT350,46,350;11005_,11016_,31950_,31950a,31951_,31951a,31957_,31958_,31958a,31959_,31962_,31963_,31964_,31965_,31965a,31966_,31966a,34096_,50350_,75046_,75350_;21;11,31,34,50,75;9,841810093;48,61924814
Oßmannsweiler;Eybach Oßmannsweiler;10187;de:08117:187;08117024;Geislingen an der Steige;Eybach;GP;7;Bus;958,958A;31958_,31958a;2;31;9,856030551;48,63241651
Eisenbahnbrücke;Geisl.(St) Eisenbahnbrücke;10199;de:08117:199;08117024;Geislingen an der Steige;Geislingen (Steige);GP;7;Bus;950,950A,958,958A,959;31950_,31950a,31958_,31958a,31959_;5;31;9,845265015;48,62957345
