Name;Name mit Ort;Steigname;Nummer;Bereich;Steig;Globale ID;Landkreis;GKZ;Gemeinde;Teilort;Tarifzonen;Betriebszweige;Verkehrsmittel;Linien (DIVA);Linien (EFA);Anzahl Linien;X-Koordinate;Y-Koordinate;Sitzmöglichkeit vorhanden?;Wetterschutz vorhanden?;Breite des Bahn/Bussteigs [cm];Höhe über Straße/Schienenoberkante [cm];Höhe der zweiten Ebene über Straße/Schienenoberkante [cm];Stufe Straße zu Einstiegsposition [cm];Bodenindikatoren als Leitstreifen (taktil)
Daimlerstraße;Schönaich Daimlerstraße;eRtg Maybachstraße;3214;0;3;de:08115:3214:0:3;BB;08115044;Schönaich;Schönaich;4;31;Bus;31734_;734;1;9,065300916;48,67015068;Nein;Nein;150;15;;Stufenhöhe;Nein
Bürgerhaus;Maichingen Bürgerhaus;Rtg Nord;3215;0;3;de:08115:3215:0:3;BB;08115045;Sindelfingen;Maichingen;3;31;Bus;31704_,31704a,31718_,31722_,31749_;704,704A,718,722,749;5;8,966140874;48,72185359;Ja;Ja;250;15;;Ebenerdig;Nein
Bürgerhaus;Maichingen Bürgerhaus;Rtg Süd;3215;0;4;de:08115:3215:0:4;BB;08115045;Sindelfingen;Maichingen;3;31;Bus;31704_,31704a,31715_,31718_,31722_,31749_;704,704A,715,718,722,749;6;8,965515521;48,7221052;Ja;Nein;150;15;;Ebenerdig;Nein
Evangelische Kirche;Schönaich Evangelische Kirche;eRtg Neues Rathaus;3216;0;3;de:08115:3216:0:3;BB;08115044;Schönaich;Schönaich;4;31;Bus;31734_,31760_,31760a,31761_,31761a;734,760,760A,761,761A;5;9,061372341;48,65515329;Nein;Nein;150;15;;Stufenhöhe;Nein
Evangelische Kirche;Schönaich Evangelische Kirche;eRtg Schwabenstraße;3216;0;4;de:08115:3216:0:4;BB;08115044;Schönaich;Schönaich;4;31;Bus;31734_,31760_,31760a,31761_,31761a;734,760,760A,761,761A;5;9,061372341;48,65515329;Ja;Ja;250;15;;Ebenerdig;Nein
Schillerstraße;Schönaich Schillerstraße;eRtg Lessingstraße;3217;0;3;de:08115:3217:0:3;BB;08115044;Schönaich;Schönaich;4;31;Bus;31734_,31760_;734,76;2;9,064956337;48,65570884;Nein;Ja;150;15;;Ebenerdig;Nein
Schillerstraße;Schönaich Schillerstraße;eRtg Evangelische Kirche;3217;0;4;de:08115:3217:0:4;BB;08115044;Schönaich;Schönaich;4;31;Bus;31734_,31760_,31760a;734,760,760A;3;9,064956337;48,65570884;Nein;Nein;150;15;;Ebenerdig;Nein
IBM;Ehningen IBM;Rtg Ehningen;3218;0;3;de:08115:3218:0:3;BB;08115013;Ehningen;Ehningen;4;31;Bus;31752_;752;1;8,945121282;48,65345757;Nein;Ja;150;20;;Ebenerdig;Nein
IBM;Ehningen IBM;Rtg Hildrizhausen;3218;0;4;de:08115:3218:0:4;BB;08115013;Ehningen;Ehningen;4;31;Bus;31752_,31764_;752,764;2;8,944997774;48,65471647;Ja;Ja;250;20;;Ebenerdig;Nein
Heerstraße;Gültstein Heerstraße;Rtg Holzsteig;3219;0;3;de:08115:3219:0:3;BB;08115021;Herrenberg;Gültstein;5;31,5;"Bus;Ruftaxi";31794_,50794_;794,RT794;2;8,888080816;48,5771591;Nein;Nein;150;15;;Stufenhöhe;Ja
Heerstraße;Gültstein Heerstraße;Rtg Erholungsheim;3219;0;4;de:08115:3219:0:4;BB;08115021;Herrenberg;Gültstein;5;31,5;"Bus;Ruftaxi";31794_,50794_;794,RT794;2;8,888080816;48,5771591;Nein;Nein;250;15;;Ebenerdig;Nein
Talstraße;Holzgerlingen Talstraße;Rtg Stäuchle;3220;0;3;de:08115:3220:0:3;BB;08115024;Holzgerlingen;Holzgerlingen;4;31,51;"Bus;Ruftaxi";31756_,31757_,51046_;756,757,RT46;3;9,01376581;48,63414441;;;250;15;;Ebenerdig;Nein
Talstraße;Holzgerlingen Talstraße;Rtg Am Eschelbach;3220;0;4;de:08115:3220:0:4;BB;08115024;Holzgerlingen;Holzgerlingen;4;31,51;"Bus;Ruftaxi";31757_,51046_;757,RT46;2;9,01376581;48,63414441;;;250;15;;Ebenerdig;Nein
Einsteinstraße;Gültstein Einsteinstraße;Rtg Mönchberg Kayh;3223;0;3;de:08115:3223:0:3;BB;08115021;Herrenberg;Gültstein;5;31;Bus;31791_;791;1;8,893133808;48,57809012;Ja;Ja;150;17;;Ebenerdig;Ja
Einsteinstraße;Gültstein Einsteinstraße;Rtg Holzsteig;3223;0;4;de:08115:3223:0:4;BB;08115021;Herrenberg;Gültstein;5;31,5;"Bus;Ruftaxi";31791_,31794_,50794_;791,794,RT794;3;8,893133808;48,57809012;Ja;Ja;250;20;;Ebenerdig;Ja
Junkersstraße;Böblingen Junkersstraße;Rtg Daimler;3224;0;3;de:08115:3224:0:3;BB;08115003;Böblingen;Böblingen;3;31;Bus;31707_,31752_;707,752;2;8,978876046;48,68735241;Ja;Ja;150;15;;Ebenerdig;Nein
Junkersstraße;Böblingen Junkersstraße;Rtg Hulb;3224;0;4;de:08115:3224:0:4;BB;08115003;Böblingen;Böblingen;3;31;Bus;31707_,31752_;707,752;2;8,978604405;48,68737035;Ja;Ja;250;20;;Ebenerdig;Nein
Altstadtgarage;Herrenberg Altstadtgarage;eRtg Hallenbad;3225;0;3;de:08115:3225:0:3;BB;08115021;Herrenberg;Herrenberg;5;31,5;"Bus;Ruftaxi";31794_,50782_;794,RT782;2;8,872141431;48,5941837;Ja;Ja;250;20;;Ebenerdig;Ja
Altenzentrum;Holzgerlingen Altenzentrum;eRtg Hohenzollernstraße;3228;0;3;de:08115:3228:0:3;BB;08115024;Holzgerlingen;Holzgerlingen;4;31;Bus;31751_,31752_;751,752;2;9,012954216;48,64328997;Ja;Ja;150;17;;Ebenerdig;Ja
Altenzentrum;Holzgerlingen Altenzentrum;eRtg Rathaus;3228;0;4;de:08115:3228:0:4;BB;08115024;Holzgerlingen;Holzgerlingen;4;31,34;"Bus;Nachtbus";31751_,31752_,34074_;751,752,N74;3;9,012954216;48,64328997;Ja;Ja;150;17;;Ebenerdig;Ja
Amundsenstraße;Sindelfingen Amundsenstraße;eRtg Sindelfinger Straße;3229;0;3;de:08115:3229:0:3;BB;08115045;Sindelfingen;Sindelfingen;3;31;Bus;31704a,31715_;704A,715;2;8,986693758;48,70851287;Ja;Ja;250;15;;Ebenerdig;Nein
Amundsenstraße;Sindelfingen Amundsenstraße;eRtg Calwer Str.;3229;0;4;de:08115:3229:0:4;BB;08115045;Sindelfingen;Sindelfingen;3;31;Bus;31704a,31715_;704A,715;2;8,986693758;48,70851287;Ja;Ja;250;15;;Ebenerdig;Nein
Wettbachplatz;Sindelfingen Wettbachplatz;eRtg Sifi ZOB;3230;0;4;de:08115:3230:0:4;BB;08115045;Sindelfingen;Sindelfingen;3;31;Bus;31701_,31701a;701,701A;2;8,998147936;48,7071557;Ja;Ja;250;20;;Ebenerdig;Ja
Gültstein;Gültstein;Gleis 1;3231;1;1;de:08115:3231:1:1;BB;08115021;Herrenberg;Gültstein;5;11;R-Bahn;11063_;RB63;1;8,88190031;48,5774767;;;;;;Keine Angabe;
Post;Dagersheim Post;eRtg Kirche;3232;0;3;de:08115:3232:0:3;BB;08115003;Böblingen;Dagersheim;3;31;Bus;31717_,31717a,31718_,31732a;717,717A,718,732A;4;8,948367087;48,69183919;Nein;Nein;250;15;;Ebenerdig;Nein
Hallenbad;Herrenberg Hallenbad;am Hallenbad;3233;0;3;de:08115:3233:0:3;BB;08115021;Herrenberg;Herrenberg;5;31,5;"Bus;Ruftaxi";31773_,31774_,31774a,31780_,31782_,31790_,31794_,50782_;773,774,774A,780,782,790,794,RT782;8;8,876055486;48,59018623;Ja;Ja;250;20;;Ebenerdig;Ja
Hallenbad;Herrenberg Hallenbad;Rtg Stadtfriedhof (Marienstraße);3233;0;4;de:08115:3233:0:4;BB;08115021;Herrenberg;Herrenberg;5;31;Bus;31794_;794;1;8,874752912;48,59068841;Nein;Nein;150;15;;Ebenerdig;Nein
Holzsteig;Gültstein Holzsteig;Rtg Herrenberg Hallenbad Kreiskrankenh.;3234;0;3;de:08115:3234:0:3;BB;08115021;Herrenberg;Gültstein;5;31,5;"Bus;Ruftaxi";31791_,31794_,50794_;791,794,RT794;3;8,892343195;48,58025663;Ja;Ja;250;15;;Stufenhöhe;Nein
