Nummer,Name,Name mit Ort
5003587,Kindergarten Leonberger Straße,Ald. Kindergarten Leonb. Str.
5003588,Oberamteigasse,Besigheim Oberamteigasse
5003590,Rathaus,Gündelbach Rathaus
5003591,Talstraße,Höpfigheim Talstraße
5003592,Obere Seewiesen,Höpfigheim Obere Seewiesen
5003593,Burgermühle,Bönnigheim Burgermühle
5003594,Bad-Berka-Weg,Marbach (N) Bad-Berka-Weg
5003595,Weimarstraße,Marbach (N) Weimarstraße
5003596,Hölderlinstraße,Marbach (N) Hölderlinstraße
5003597,Endwiesenstraße,Höpfigheim Endwiesenstraße
5003599,Marbacher Straße,Affalterbach Marbacher Str.
5003600,Birkhau,Affalterbach Birkhau
5003601,Klingenstraße,Affalterbach Klingenstr.
5003602,Waage,Affalterbach Waage
5003603,Wolfsölden,Affalterbach Wolfsölden
5003604,Schöntaler Straße,Backnang Schöntaler Straße
5003605,AOK/Waldhorn,Backnang AOK/Waldhorn
5003606,Blumenstraße,Backnang Blumenstraße
5003607,Friedhof,Backnang Friedhof
5003608,Schillerplatz,Backnang Schillerplatz
5003609,Max-Born-Gymnasium,Backnang Max-Born-Gymnasium
5003610,Bottwarstraße,Waldrems Bottwarstraße
5003611,Kreisberufsschulzentrum,Backnang Kreisberufsschulz.
5003613,Im Wiesengrund,Backnang Im Wiesengrund
5003614,B14,Waldrems B14
5003615,Rathaus,Waldrems Rathaus
5003616,Schozachstraße,Waldrems Schozachstr.
5003617,Kirschenhardthof,Burgst.(M) Kirschenhardthof
5003619,Schorndorfer Straße,Fellbach Schorndorfer Str.
5003622,Schmiede,Hertmannsweiler Schmiede
5003623,Heidenhof,Leutenbach Heidenhof
5003624,Friedhofstraße,Weiler zum Stein Friedhofstr.
5003626,Remspark,Waiblingen Remspark
5003627,Bürgerzentrum (Hallenbad),Waibl. Bürgerz. (Hallenbad)
5003628,Devizesstraße,Waiblingen Devizesstraße
5003629,Stadtwerke,Waiblingen Stadtwerke
5003632,Beim Wasserturm,Waiblingen Beim Wasserturm
