Nummer;Name;Name mit Ort;Globale ID;GKZ;Ort;Teilort;Landkreis;Tarifzonen;Verkehrsmittel;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate
5941;Abzweig;Dätzingen Abzw.;de:08115:5941;8115054;Grafenau;Dätzingen;BB;56,57;"Nachtbus;Bus;Ruftaxi";763,N75,RT766;31763_,34075_,50766_;3;31,34,50;8,895941245;48,71637137
5943;Jahnstraße;Weil i. S. Jahnstraße;de:08115:5943;8115051;Weil im Schönbuch;Weil im Schönbuch;BB;58,68;SEV-Bus;R72E;31072e;1;31;9,06743767;48,61344208
5944;Ziegelhütte;Weil i. S. Ziegelhütte;de:08115:5944;8115051;Weil im Schönbuch;Weil im Schönbuch;BB;58,68;SEV-Bus;R72E;31072e;1;31;9,067360341;48,61645466
5946;Nebringer Straße;Bondorf Nebringer Straße;de:08115:5946;8115004;Bondorf;Bondorf;BB;77;Nachtbus;N70;34070_;1;34;8,838025427;48,52410554
5947;Hauptstraße;Weil i. S. Hauptstraße;de:08115:5947;8115051;Weil im Schönbuch;Weil im Schönbuch;BB;58,68;"Nachtbus;Ruftaxi;Bus";754,826A,N74,RT754;31754_,31754q,31826a,34074_,34074q,50754_;6;31,34,50;9,051470568;48,62193944
5948;Schule/Hallenbad;Weil i. S. Schule/Hallenbad;de:08115:5948;8115051;Weil im Schönbuch;Weil im Schönbuch;BB;58,68;Bus;761,761A;31761_,31761a,31761q;3;31;9,051535629;48,61925961
5949;Karlstraße;Rommelshausen Karlstr.;de:08119:5949;8119093;Kernen i. R.;Rommelshausen;WN;32;"Expressbus;Nachtbus;Bus";211,212,N31,X20;31211_,31212_,34031_,35X20_;4;31,34,35;9,318559375;48,80848974
5950;Jesistraße;Waiblingen Jesistraße;de:08119:5950;8119079;Waiblingen;Waiblingen;WN;32;Bus;207,216;31207_,31216_;2;31;9,307209192;48,82252166
5951;Mühlweg;Beinstein Mühlweg;de:08119:5951;8119079;Waiblingen;Beinstein;WN;32,42;"Ruftaxi;Bus;Nachtbus";201,202,204,N31,RT201;31201_,31202_,31204_,34031_,50201_;5;31,34,50;9,343687464;48,821816
5952;Baach;Schnait Baach;de:08119:5952;8119091;Weinstadt;Schnait;WN;42;Ruftaxi;RT206;50206_;1;50;9,419738878;48,76581107
5955;Alte Bundesstraße;Waiblingen Alte Bundesstr.;de:08119:5955;8119079;Waiblingen;Waiblingen;WN;32;Bus;216;31216_;1;31;9,313577783;48,82176711
5956;Eisentalstraße;Waiblingen Eisentalstraße;de:08119:5956;8119079;Waiblingen;Waiblingen;WN;32;Bus;216;31216_;1;31;9,319351016;48,82164332
5957;Schänzle;Waiblingen Schänzle;de:08119:5957;8119079;Waiblingen;Waiblingen;WN;32;Bus;216;31216_;1;31;9,3216152;48,82008135
5958;Friedhof;Waiblingen Friedhof;de:08119:5958;8119079;Waiblingen;Waiblingen;WN;32;Bus;218;31218_;1;31;9,317193245;48,8271346
5959;Grauhalde;Schorndorf Grauhalde;de:08119:5959;8119067;Schorndorf;Schorndorf;WN;52;Bus;217a,242,243,243A,244,245,247,260,262;31217a,31242_,31242a,31243_,31243a,31244_,31245_,31247_,31260_,31260q,31262_,31262q;12;31;9,533402091;48,79508737
5960;Burggymnasium;Schorndorf Burggymnasium;de:08119:5960;8119067;Schorndorf;Schorndorf;WN;52;Bus;242,244,245,247,260;31242a,31244_,31245_,31247_,31260_,31260q;6;31;9,528429608;48,80371601
5961;Künkelinhalle;Schorndorf Künkelinhalle;de:08119:5961;8119067;Schorndorf;Schorndorf;WN;52;"Bus;Ruftaxi";217a,242,245,247,260,261,262,RT262;31217a,31242_,31245_,31247_,31260_,31260q,31261_,31261q,31262_,31262q,50262_;11;31,5;9,524368582;48,80330294
5962;Talstraße;Schorndorf Talstraße;de:08119:5962;8119067;Schorndorf;Schorndorf;WN;52;Bus;246;31246_;1;31;9,522364933;48,81222349
5966;Friedhof;Weiler Friedhof;de:08119:5966;8119067;Schorndorf;Weiler (R);WN;52;Bus;245;31245_;1;31;9,503025169;48,79396516
5968;Industriegebiet;Birkmannsweiler Industriegeb.;de:08119:5968;8119085;Winnenden;Birkmannsweiler;WN;43;"Bus;Ruftaxi";336,337,340,RT31;31336_,31337_,31340_,51031_;4;31,51;9,436450165;48,86060018
5969;Schlossstraße;Schorndorf Schlossstraße;de:08119:5969;8119067;Schorndorf;Schorndorf;WN;52;Bus;242;31242_;1;31;9,521173205;48,80103339
5970;Gottlob-Kamm-Platz;Schorndorf Gottlob-Kamm-Platz;de:08119:5970;8119067;Schorndorf;Schorndorf;WN;52;Bus;242;31242_;1;31;9,524066815;48,79786393
5971;Röhrachweg;Schorndorf Röhrachweg;de:08119:5971;8119067;Schorndorf;Schorndorf;WN;52;Bus;242;31242_;1;31;9,531241897;48,78773258
5973;Lindenweg;Schorndorf Lindenweg;de:08119:5973;8119067;Schorndorf;Schorndorf;WN;52;Bus;242,247;31242_,31247_;2;31;9,531754798;48,7924782
5974;Stuttgarter Straße;Schorndorf Stuttgarter Str.;de:08119:5974;8119067;Schorndorf;Schorndorf;WN;52;Bus;242,244;31242a,31244_;2;31;9,518392706;48,80596477
5975;Neuer Friedhof;Schorndorf Neuer Friedhof;de:08119:5975;8119067;Schorndorf;Schorndorf;WN;52;Bus;247;31247_;1;31;9,539195254;48,79842354
5976;Auerhahnstraße;Schorndorf Auerhahnstraße;de:08119:5976;8119067;Schorndorf;Schorndorf;WN;52;Bus;247;31247_;1;31;9,542129346;48,79660229
5977;Epplerinweg;Schorndorf Epplerinweg;de:08119:5977;8119067;Schorndorf;Schorndorf;WN;52;Bus;247;31247_;1;31;9,539329045;48,79947502
5978;Reinhold-Maier-Platz;Schornd. Reinhold-Maier-Platz;de:08119:5978;8119067;Schorndorf;Schorndorf;WN;52;"Bus;Ruftaxi";243,248,249,260,RT260;31243_,31248_,31249_,31260_,31260q,50260_;6;31,5;9,533830273;48,80464429
5979;Hohenstaufenstraße;Schorndorf Hohenstaufenstr.;de:08119:5979;8119067;Schorndorf;Schorndorf;WN;52;Bus;243,243A,248,249;31243_,31243a,31248_,31249_;4;31;9,541750889;48,80568638
5980;Steinhalde;Plüderh. Steinhalde;de:08119:5980;8119055;Plüderhausen;Plüderhausen;WN;62;Bus;243,243A;31243_,31243a;2;31;9,594860526;48,79901268
