Nummer;Bereich;Steig;Steigname;Name mit Ort;Globale ID;GKZ;Ort;Teilort;Landkreis;Tarifzonen;Verkehrsmittel;Linien;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate
4329;0;3;eRtg Spielplatz;Kirchheim (T) Freiwaldaustraﬂe;de:08116:4329:0:3;8116033;Kirchheim (T);Kirchheim (T);ES;61;"Bus;Ruftaxi";161,RT161;161,RT161;31161_,50161_;2;31,5;9,459445011;48,63455736
4330;0;3;eRtg Tannenbergstraﬂe;Kirchheim (T) Bulkesweg;de:08116:4330:0:3;8116033;Kirchheim (T);Kirchheim (T);ES;61;"Ruftaxi;Bus";161,RT161;161,RT161;31161_,50161_;2;31,5;9,461961979;48,63828821
4330;0;4;eRtg Spielplatz;Kirchheim (T) Bulkesweg;de:08116:4330:0:4;8116033;Kirchheim (T);Kirchheim (T);ES;61;"Ruftaxi;Bus";161,RT161;161,RT161;31161_,50161_;2;31,5;9,461961979;48,63828821
4331;0;3;eRtg Eichendorffstraﬂe;Kirchheim (T) Tannenbergstraﬂe;de:08116:4331:0:3;8116033;Kirchheim (T);Kirchheim (T);ES;61;"Ruftaxi;Bus";161,RT161;161,RT161;31161_,50161_;2;31,5;9,45839788;48,64027186
4331;0;4;eRtg Bulkesweg/Bohnauhaus;Kirchheim (T) Tannenbergstraﬂe;de:08116:4331:0:4;8116033;Kirchheim (T);Kirchheim (T);ES;61;"Ruftaxi;Bus";161,165,RT161,RT165;161,165,RT161,RT165;31161_,31165_,50161_,50165_;4;31,5;9,45839788;48,64027186
4332;0;3;eRtg Konrad-Widerholt-Halle;Kirchheim (T) Bismarckstraﬂe;de:08116:4332:0:3;8116033;Kirchheim (T);Kirchheim (T);ES;61;"Ruftaxi;Bus";161,RT161;161,RT161;31161_,50161_;2;31,5;9,456598222;48,6438311
4332;0;4;eRtg Eichendorffstraﬂe;Kirchheim (T) Bismarckstraﬂe;de:08116:4332:0:4;8116033;Kirchheim (T);Kirchheim (T);ES;61;"Ruftaxi;Bus";161,RT161;161,RT161;31161_,50161_;2;31,5;9,456598222;48,6438311
4333;1;3;eRtg Fuﬂg‰ngerzone;Kirchheim (T) K.-W.-Halle;de:08116:4333:1:3;8116033;Kirchheim (T);Kirchheim (T);ES;61;"Ruftaxi;Bus";161,173,176,RT161,RT173,RT176;161,173,176,RT161,RT173,RT176;31161_,31173_,31176_,50161_,50173_,50176_;6;31,5;9,453772445;48,64498434
4333;1;4;eRtg Bismarckstraﬂe;Kirchheim (T) K.-W.-Halle;de:08116:4333:1:4;8116033;Kirchheim (T);Kirchheim (T);ES;61;"Ruftaxi;Bus";161,RT161;161,RT161;31161_,50161_;2;31,5;9,453772445;48,64498434
4334;0;3;eRtg Bulkesweg;Kirchheim (T) Spielplatz;de:08116:4334:0:3;8116033;Kirchheim (T);Kirchheim (T);ES;61;"Ruftaxi;Bus";161,RT161;161,RT161;31161_,50161_;2;31,5;9,458483359;48,63623383
